"","name","E1","E2","pvals","strain","pvals_corrected","pvals_corrected_overall"
"682","log","Zn","Cd",0.00832055769524345,"znbm_38",0.0344708818802943,0.019903294365896
"683","log","Zn","Cd",0.00542351242640278,"znbm_39",0.0262136433942801,0.0136399713717914
"684","log","Zn","Cd",0.834365469854806,"znbm_41",0.896170319473681,0.89168828839445
"685","log","Zn","Cd",0.000721245685474728,"znbm_42",0.00418322497575342,0.00221921749376839
"686","log","Zn","Cd",0.946039373621019,"znbm_43",0.946039373621019,0.963240089505037
"687","log","Zn","Cd",0.083789650223556,"znbm_44",0.256370899051626,0.149433771099336
"688","log","Zn","Cd",0.587087442362069,"znbm_45",0.810739801357143,0.719932046108231
"689","log","Zn","Cd",0.395535298302578,"znbm_46",0.764701576718317,0.539366315867151
"690","log","Zn","Cd",0.686344433503536,"znbm_47",0.829332857150107,0.801848851381044
"691","log","Zn","Cd",0.918149439358268,"znbm_5",0.946039373621019,0.941691732675147
"692","log","Zn","Cd",0.528872141623672,"znbm_6",0.810739801357143,0.673109998430128
"693","log","Zn","Cd",0.429201131050831,"znbm_7",0.777927050029631,0.576846320132317
"694","log","Zn","Cd",7.29259507644311e-08,"znbm_8",7.049508573895e-07,5.02113103623951e-07
"695","log","Zn","Cd",0.643278118293324,"znbm_9",0.829332857150107,0.768639572356176
"696","log","Zn","Co",0.00036290148636668,"znbm_11",0.00263103577615843,0.00120014664782682
"697","log","Zn","Co",0.0924790328651655,"znbm_12",0.173103144224597,0.162856158504694
"698","log","Zn","Co",0.00122115575027827,"znbm_15",0.00708270335161396,0.00357411439105835
"699","log","Zn","Co",0.0111909145542906,"znbm_16",0.0324536522074427,0.0261121339600114
"700","log","Zn","Co",0.00580161951039606,"znbm_17",0.0186941073112762,0.0143756943620433
"701","log","Zn","Co",2.83949948611308e-07,"znbm_19",8.23454850972794e-06,1.6679577400944e-06
"702","log","Zn","Co",0.0955051830204674,"znbm_22",0.173103144224597,0.167134070285818
"703","log","Zn","Co",0.0221214538020112,"znbm_23",0.0493478584814096,0.0469242959436601
"704","log","Zn","Co",0.7594747817556,"znbm_25",0.815732172996756,0.844978565132058
