strain,E1,E2,anc_slope,avg_slope,relfit1
cdbm_36,Cd,.YPAD,0.25524757384878666,0.254108701022715,-0.0011388728260716685
cdbm_36,Cd,Cd,0.01895355052072835,0.0307390295717358,0.01178547905100745
cdbm_36,Cd,Co,0.024788894353866546,0.0338161244187174,0.009027230064850851
cdbm_36,Cd,Cu,0.008643785839868025,0.019697006845009725,0.0110532210051417
cdbm_36,Cd,Mn,0.01977103815109517,0.24926281106188447,0.22949177291078932
cdbm_36,Cd,Ni,0.02142069074895225,0.08526489424232067,0.06384420349336842
cdbm_36,Cd,Zn,0.020141181159930934,0.020983643542193973,0.00084246238226303935
cdbm_37,Cd,.YPAD,0.25524757384878666,0.143611513756664,-0.11163606009212265
cdbm_37,Cd,Cd,0.01895355052072835,0.034513044383510674,0.015559493862782325
cdbm_37,Cd,Co,0.024788894353866546,0.0060515186972587174,-0.018737375656607828
cdbm_37,Cd,Cu,0.008643785839868025,0.08413380600674755,0.07549002016687953
cdbm_37,Cd,Mn,0.01977103815109517,0.07163062058594209,0.051859582434846924
cdbm_37,Cd,Ni,0.02142069074895225,0.13617541790023055,0.1147547271512783
cdbm_37,Cd,Zn,0.020141181159930934,0.009992044011641894,-0.01014913714828904
cdbm_39,Cd,.YPAD,0.25524757384878666,0.14261842315940726,-0.1126291506893794
cdbm_39,Cd,Cd,0.01895355052072835,0.07127971966697222,0.05232616914624387
cdbm_39,Cd,Co,0.024788894353866546,0.009189446792401417,-0.015599447561465129
cdbm_39,Cd,Cu,0.008643785839868025,0.02608965017358855,0.017445864333720522
cdbm_39,Cd,Mn,0.01977103815109517,0.07901987201519575,0.059248833864100584
cdbm_39,Cd,Ni,0.02142069074895225,0.07951992144483715,0.05809923069588489
cdbm_39,Cd,Zn,0.020141181159930934,0.00284486413870688,-0.017296317021224056
cdbm_40,Cd,.YPAD,0.25524757384878666,0.17778300929333074,-0.07746456455545592
cdbm_40,Cd,Cd,0.01895355052072835,0.13187504609261944,0.11292149557189109
cdbm_40,Cd,Co,0.024788894353866546,0.009967719790301068,-0.014821174563565478
cdbm_40,Cd,Cu,0.008643785839868025,0.023235786987540998,0.014592001147672973
cdbm_40,Cd,Mn,0.01977103815109517,0.13809234248041158,0.11832130432931641
cdbm_40,Cd,Ni,0.02142069074895225,0.008046921129434271,-0.01337376961951798
cdbm_40,Cd,Zn,0.020141181159930934,0.02174383964548275,0.0016026584855518174
cdbm_42,Cd,.YPAD,0.25524757384878666,0.20338850031526026,-0.051859073533526395
cdbm_42,Cd,Cd,0.01895355052072835,0.08962332433970498,0.07066977381897663
cdbm_42,Cd,Co,0.024788894353866546,0.0206357345655661,-0.004153159788300446
cdbm_42,Cd,Cu,0.008643785839868025,0.058976794425902174,0.05033300858603415
cdbm_42,Cd,Mn,0.01977103815109517,0.14948913965769536,0.12971810150660018
cdbm_42,Cd,Ni,0.02142069074895225,0.19610679022064056,0.1746860994716883
cdbm_42,Cd,Zn,0.020141181159930934,0.0313226021647628,0.011181421004831864
cdbm_43,Cd,.YPAD,0.25524757384878666,0.152557214033733,-0.10269035981505364
cdbm_43,Cd,Cd,0.01895355052072835,0.05404397130787107,0.03509042078714272
cdbm_43,Cd,Co,0.024788894353866546,0.02647389286264402,0.001684998508777475
cdbm_43,Cd,Cu,0.008643785839868025,0.06713017133841423,0.058486385498546206
cdbm_43,Cd,Mn,0.01977103815109517,0.13544842681345595,0.11567738866236078
cdbm_43,Cd,Ni,0.02142069074895225,0.012355641554329125,-0.009065049194623125
cdbm_43,Cd,Zn,0.020141181159930934,0.011528763170047068,-0.008612417989883867
cdbm_44,Cd,.YPAD,0.25524757384878666,0.17193641765889126,-0.0833111561898954
cdbm_44,Cd,Cd,0.01895355052072835,0.032774207298080775,0.013820656777352426
cdbm_44,Cd,Co,0.024788894353866546,0.009976425419111465,-0.014812468934755081
cdbm_44,Cd,Cu,0.008643785839868025,0.01662449502781715,0.007980709187949126
cdbm_44,Cd,Mn,0.01977103815109517,0.08058807099142762,0.06081703284033245
cdbm_44,Cd,Ni,0.02142069074895225,0.10838398982193624,0.08696329907298399
cdbm_44,Cd,Zn,0.020141181159930934,0.020320908708515426,1.797275485844914e-4
cdbm_45,Cd,.YPAD,0.25524757384878666,0.22744101484603602,-0.02780655900275064
cdbm_45,Cd,Cd,0.01895355052072835,0.1916901221823975,0.17273657166166917
cdbm_45,Cd,Co,0.024788894353866546,0.02313955404786848,-0.0016493403059980663
cdbm_45,Cd,Cu,0.008643785839868025,0.07374350346547873,0.0650997176256107
cdbm_45,Cd,Mn,0.01977103815109517,0.11097277990701493,0.09120174175591976
cdbm_45,Cd,Ni,0.02142069074895225,0.11076378411412062,0.08934309336516837
cdbm_45,Cd,Zn,0.020141181159930934,0.01297577782444213,-0.007165403335488804
cdbm_46,Cd,.YPAD,0.25524757384878666,0.22346126619735002,-0.03178630765143664
cdbm_46,Cd,Cd,0.01895355052072835,0.1815748351882695,0.16262128466754117
cdbm_46,Cd,Co,0.024788894353866546,0.014890818739177192,-0.009898075614689354
cdbm_46,Cd,Cu,0.008643785839868025,0.11023176910915367,0.10158798326928564
cdbm_46,Cd,Mn,0.01977103815109517,0.107156641411995,0.08738560326089984
cdbm_46,Cd,Ni,0.02142069074895225,0.07429064685926519,0.052869956110312935
