X1,strain,conc,day,Mean,SD,avg_ypad_day,batch,r_anc,rel_fit
573,CBM47,YPAD,20210721BIO1,0.263686382353285,0.0211664667142511,0.258470227705632,0.261828157325218,0.272252223050353,-0.0104240657251345
574,CBM3,YPAD,20210721BIO1,0.253527163791646,0.0118774832233511,0.258470227705632,0.251668938763579,0.272252223050353,-0.0205832842867732
575,CBM2,YPAD,20210721BIO1,0.24546291431988,0.0107494617992107,0.258470227705632,0.243604689291813,0.272252223050353,-0.0286475337585399
576,CBM24,MN1,20210721BIO1,0.146218542679266,0.00714201578831388,0.258470227705632,0.144360317651199,0.0419090194436755,0.102451298207524
577,CBM55,YPAD,20210721BIO1,0.270653023057684,0.0127263412739724,0.258470227705632,0.268794798029618,0.272252223050353,-0.00345742502073509
578,CBM3,MN1,20210721BIO1,0.133550901741201,0.0178909377654875,0.258470227705632,0.131692676713134,0.0419090194436755,0.0897836572694586
579,CBM33,MN2,20210721BIO1,0.105058601314785,0.00616249986106037,0.258470227705632,0.103200376286719,0.0151554721883329,0.0880449040983857
580,CBM21,YPAD,20210721BIO1,0.328367348749668,0.039837030061137,0.258470227705632,0.326509123721601,0.272252223050353,0.0542569006712486
581,CBM36,YPAD,20210721BIO1,0.264790379632991,0.0131996622970391,0.258470227705632,0.262932154604924,0.272252223050353,-0.00932006844542893
582,CBM21,MN1,20210721BIO1,0.366400536302066,0.0257836769000969,0.258470227705632,0.364542311273999,0.0419090194436755,0.322633291830323
583,CBM36,MN1,20210721BIO2,0.20751537385307,0.001696012230096,0.253251431934701,0.210875944595934,0.0419090194436755,0.168966925152258
584,CBM47,YPAD,20210721BIO2,0.263686382353285,0.0211664667142511,0.253251431934701,0.267046953096149,0.272252223050353,-0.00520526995420323
585,CBM11,MN2,20210721BIO2,0.153765361277092,9.91068814076976e-4,0.253251431934701,0.157125932019956,0.0151554721883329,0.141970459831623
586,CBM30,YPAD,20210721BIO2,0.256392238515146,0.013411931819669,0.253251431934701,0.259752809258011,0.272252223050353,-0.012499413792342
587,CBM34,MN2,20210721BIO2,0.231424508527015,0.0296290313974387,0.253251431934701,0.23478507926988,0.0151554721883329,0.219629607081547
588,CBM49,MN2,20210721BIO2,0.102673833901612,0.00692503272979565,0.253251431934701,0.106034404644476,0.0151554721883329,0.0908789324561435
589,CBM44h,MN1,20210721BIO2,0.210777481723934,0.00543248437976021,0.253251431934701,0.214138052466798,0.0419090194436755,0.172229033023123
590,CBM20,MN1,20210721BIO2,0.146749098171399,0.00861420545456804,0.253251431934701,0.150109668914263,0.0419090194436755,0.108200649470587
591,CBM29,YPAD,20210721BIO2,0.214845748502945,0.0148027241667593,0.253251431934701,0.21820631924581,0.272252223050353,-0.0540459038045429
592,CBM53,YPAD,20210721BIO2,0.267960084404265,0.014076694183164,0.253251431934701,0.271320655147129,0.272252223050353,-9.31567903223296e-4
593,CBM4,MN2,20210721BIO2,0.0984445312305719,0.00940464078815655,0.253251431934701,0.101805101973436,0.0151554721883329,0.0866496297851033
594,CBM45,MN1,20210721BIO2,0.211677684615793,0.00428489121498603,0.253251431934701,0.215038255358657,0.0419090194436755,0.173129235914982
595,CBM21,MN1,20210721BIO2,0.366400536302066,0.0257836769000969,0.253251431934701,0.36976110704493,0.0419090194436755,0.327852087601255
596,CBM5,MN1,20210721BIO2,0.0810406627212619,0.00618013961545881,0.253251431934701,0.0844012334641263,0.0419090194436755,0.0424922140204508
597,CBM29,MN2,20210721BIO2,0.190139862565886,0.140446322084645,0.253251431934701,0.19350043330875,0.0151554721883329,0.178344961120417
598,CBM33,MN2,20210721BIO2,0.105058601314785,0.00616249986106037,0.253251431934701,0.10841917205765,0.0151554721883329,0.0932636998693169
599,CBM37,MN2,20210721BIO2,0.105028572511268,0.00535251776318827,0.253251431934701,0.108389143254132,0.0151554721883329,0.0932336710657991
600,CBM22,YPAD,20210721BIO2,0.229061124081196,0.0118802527486138,0.253251431934701,0.232421694824061,0.272252223050353,-0.0398305282262919
601,CBM17,MN2,20210721BIO2,0.0343869603162498,0.013063121554238,0.253251431934701,0.0377475310591142,0.0151554721883329,0.0225920588707813
602,CBM14,MN2,20210721BIO2,0.0941950922335917,2.80905911675814e-4,0.253251431934701,0.0975556629764561,0.0151554721883329,0.0824001907881232
603,CBM6,MN2,20210721BIO2,0.0238405437317605,0.0214416207318124,0.253251431934701,0.0272011144746249,0.0151554721883329,0.012045642286292
604,CBM25,YPAD,20210721BIO2,0.272254823112582,0.0116633565832313,0.253251431934701,0.275615393855446,0.272252223050353,0.00336317080509335
605,CBM18,MN1,20210721BIO2,0.135837964472992,0.00278975169483621,0.253251431934701,0.139198535215856,0.0419090194436755,0.0972895157721808
606,CBM2,MN2,20210721BIO2,0.0980047899131383,0.0135976321532517,0.253251431934701,0.101365360656003,0.0151554721883329,0.0862098884676698
607,CBM5,YPAD,20210721BIO2,0.163573201566617,0.0609966993893154,0.253251431934701,0.166933772309481,0.272252223050353,-0.105318450740871
608,CBM16,MN1,20210721BIO2,0.202686063518106,0.00537330647621013,0.253251431934701,0.20604663426097,0.0419090194436755,0.164137614817294
609,CBM13,YPAD,20210721BIO2,0.273853056169591,0.0115329117465503,0.253251431934701,0.277213626912456,0.272252223050353,0.00496140386210303
610,CBM21,MN2,20210721BIO2,0.38026732879041,0.0162458026379891,0.253251431934701,0.383627899533275,0.0151554721883329,0.368472427344942
